file_number,substrain,id,noise_spl,analyzer_id,experimenter_id,noise_type,abr_time,level_db,freq_hz,wave1_amp,threshold,rlm,rlm_error,rlm_error_standardized,standardization_std,is_outlier,confint_low,confint_high
0,CaJ,C194_1,100,JF,JF,baseline,baseline,5.0,8000,186.496,15.0,5.240439015156532,-0.01202922402384754,-0.03686148929772368,0.3263358115210604,False,4.515387207245308,5.795441441444664
0,CaJ,C194_1,100,JF,JF,baseline,baseline,10.0,8000,111.46366666666664,15.0,5.380664899047257,-0.6669662207426041,-2.043803337530919,0.3263358115210604,False,4.655613091136033,5.935667325335389
1,CaJ,C194_1,100,JF,JF,baseline,baseline,5.0,32000,101.12966666666668,15.0,4.645478470737224,-0.02907494891612128,-0.0925408431721225,0.31418504434893646,False,3.9474231964414597,5.179815971437329
1,CaJ,C194_1,100,JF,JF,baseline,baseline,10.0,32000,85.47566666666665,15.0,4.8004445782996035,-0.3522128432531293,-1.121036311524615,0.31418504434893646,False,4.102389304003839,5.334782078999709
2,CaJ,C194_1,100,JF,JF,baseline,baseline,0.0,16000,52.42033333333333,10.0,4.636015018686571,-0.6767204619154326,-2.626948841887996,0.25760701964377486,True,4.063664609294595,5.074129733295276
2,CaJ,C194_1,100,JF,JF,baseline,baseline,5.0,16000,84.06799999999998,10.0,4.846820909769609,-0.41519491460444335,-1.611737580670685,0.25760701964377486,False,4.2744705003776335,5.284935624378313
3,CaJ,C194_1,100,JF,JF,baseline,baseline,0.0,12000,49.97599999999999,5.0,3.9743266840733344,-0.0627837938820659,-0.08214686598218414,0.7642871475545072,False,2.276236071477646,5.274157123449467
3,CaJ,C194_1,100,JF,JF,baseline,baseline,5.0,12000,49.92966666666668,5.0,4.193690148103226,-0.2830747996260774,-0.370377547930556,0.7642871475545072,False,2.4955995355075373,5.493520587479359
3,CaJ,C194_1,100,JF,JF,baseline,baseline,10.0,12000,6.999333333333325,5.0,4.413053612133116,-2.4672387057084775,-3.2281567387374124,0.7642871475545072,True,2.714962999537428,5.712884051509249
4,CaJ,C194_1,100,JF,JF,baseline,baseline,0.0,24000,21.135333333333342,15.0,4.250177151601713,-1.1992309460804873,-2.6290353415344727,0.45614865921906533,True,3.2367075954977844,5.025953525744216
4,CaJ,C194_1,100,JF,JF,baseline,baseline,5.0,24000,52.35666666666667,15.0,4.457683158278352,-0.4996038810915202,-1.0952654819743437,0.45614865921906533,False,3.4442136021744227,5.233459532420854
4,CaJ,C194_1,100,JF,JF,baseline,baseline,10.0,24000,176.33666666666667,15.0,4.66518916495499,0.5072058816482112,1.1119311027167256,0.45614865921906533,False,3.651719608851061,5.440965539097492
5,CaJ,C196_3,100,JF,JF,baseline,baseline,0.0,16000,25.85933333333333,5.0,4.758615169896666,-1.505943576725426,-2.971954362292596,0.5067182712603048,True,3.6327902199272266,5.620395765422412
6,CaJ,C196_3,100,JF,JF,baseline,baseline,5.0,32000,63.34433333333334,15.0,4.6083719630788185,-0.45978651045727226,-0.9810469087936711,0.46866924133387416,False,3.5670842197642063,5.405442210608583
6,CaJ,C196_3,100,JF,JF,baseline,baseline,10.0,32000,97.125,15.0,4.798748935549996,-0.2227501268621852,-0.47528215469873514,0.46866924133387416,False,3.757461192235384,5.595819183079761
6,CaJ,C196_3,100,JF,JF,baseline,baseline,15.0,32000,27.313,15.0,4.989125908021174,-1.6817631286967742,-3.588379565747322,0.46866924133387416,True,3.947838164706562,5.786196155550939
7,CaJ,C196_3,100,JF,JF,baseline,baseline,0.0,24000,64.33533333333332,15.0,4.303726753305604,-0.1396177654691506,-0.5470988237173926,0.2551966105876167,False,3.736731782643528,4.737742062249086
7,CaJ,C196_3,100,JF,JF,baseline,baseline,5.0,24000,53.138,15.0,4.523252837076361,-0.5503605338850286,-2.1566138069693257,0.2551966105876167,False,3.9562578664142856,4.957268146019843
7,CaJ,C196_3,100,JF,JF,baseline,baseline,10.0,24000,68.29966666666667,15.0,4.742778920847118,-0.5188740347117609,-2.0332324693380506,0.2551966105876167,False,4.175783950185043,5.1767942297906
8,CaJ,C196_3,100,JF,JF,baseline,baseline,0.0,12000,29.077,5.0,4.862143082141097,-1.4921955984839,-2.673911795516942,0.5580571509448077,True,3.6222535820449435,5.811236199866003
9,CaJ,C196_3,100,JF,JF,baseline,baseline,0.0,8000,64.0455,10.0,4.355900278371119,-0.19630651010779854,-0.4929477683132886,0.3982298383853067,False,3.4711145634976917,5.033173561661734
9,CaJ,C196_3,100,JF,JF,baseline,baseline,5.0,8000,71.70833333333333,10.0,4.55081790905692,-0.27821094319332573,-0.6986190294564094,0.3982298383853067,False,3.6660321941834924,5.228091192347534
9,CaJ,C196_3,100,JF,JF,baseline,baseline,10.0,8000,41.54166666666666,10.0,4.745735539742721,-1.019038600128829,-2.558920758576759,0.3982298383853067,True,3.860949824869294,5.423008823033336
10,CaJ,C203_5,100,JF,JF,baseline,baseline,5.0,8000,41.92066666666666,5.0,4.208497743328694,-0.47271880013447554,-0.8545905174813252,0.5531524051164136,False,2.9795055910095027,5.149249313056163
10,CaJ,C203_5,100,JF,JF,baseline,baseline,10.0,8000,15.900666666666664,5.0,4.431734538414565,-1.6653735013461897,-3.0106955803540325,0.5531524051164136,True,3.2027423860953737,5.372486108142034
11,CaJ,C203_5,100,JF,JF,baseline,baseline,10.0,32000,59.27566666666668,25.0,4.559627389488356,-0.4774285105876217,-0.8781273734844689,0.5436893610241906,False,3.3516601966899406,5.4842850698974095
11,CaJ,C203_5,100,JF,JF,baseline,baseline,15.0,32000,102.287,25.0,4.742402699062663,-0.11462011140392825,-0.21081911771826706,0.5436893610241906,False,3.5344355062642476,5.6670603794717165
11,CaJ,C203_5,100,JF,JF,baseline,baseline,20.0,32000,68.72699999999999,25.0,4.925178008636971,-0.6950358735176501,-1.2783694575305944,0.5436893610241906,False,3.7172108158385555,5.849835689046024
12,CaJ,C203_5,100,JF,JF,baseline,baseline,0.0,16000,15.3065,5.0,4.860820265461401,-2.1325426906792218,-4.170454689297933,0.5113453686840608,True,3.7247148460061315,5.730470209695418
13,CaJ,C203_5,100,JF,JF,baseline,baseline,5.0,12000,90.39633333333332,5.0,5.107257795187514,-0.6030540890839573,-1.7656021249952316,0.34155718355039133,False,4.34838719412173,5.688147354022751
14,CaJ,C203_5,100,JF,JF,baseline,baseline,5.0,24000,15.161333333333324,5.0,4.66175649146269,-1.9430081643683237,-3.9514146895401794,0.49172469027654214,True,3.5692442292692856,5.49803736084453
15,CaJ,C195_2,100,JF,JF,baseline,baseline,0.0,16000,44.397666666666666,10.0,4.493239000227413,-0.7000520847227198,-2.0873009412864696,0.3353862736684513,False,3.7480789059720934,5.063633633786387
15,CaJ,C195_2,100,JF,JF,baseline,baseline,5.0,16000,89.28599999999999,10.0,4.694117643792553,-0.2022729431165846,-0.603104417196701,0.3353862736684513,False,3.9489575495372335,5.264512277351527
16,CaJ,C195_2,100,JF,JF,baseline,baseline,5.0,32000,71.65266666666666,20.0,4.533168170640603,-0.26133779910132837,-1.3471391291206734,0.1939946613175085,False,4.10215148492112,4.863096740895642
16,CaJ,C195_2,100,JF,JF,baseline,baseline,10.0,32000,121.708,20.0,4.707155385898339,0.09446934734961943,0.4869687995949677,0.1939946613175085,False,4.276138700178857,5.037083956153379
16,CaJ,C195_2,100,JF,JF,baseline,baseline,15.0,32000,98.378,20.0,4.881142601156076,-0.29232539933075596,-1.5068734229356489,0.1939946613175085,False,4.450125915436593,5.211071171411115
17,CaJ,C195_2,100,JF,JF,baseline,baseline,0.0,8000,57.041,15.0,4.230673424914849,-0.18690311740568255,-0.5535515320254257,0.3376435735292983,False,3.4804980694245575,4.804907069870675
17,CaJ,C195_2,100,JF,JF,baseline,baseline,5.0,8000,59.495666666666665,15.0,4.43093998171322,-0.3450365009454579,-1.021895655643267,0.3376435735292983,False,3.6807646262229277,5.005173626669045
17,CaJ,C195_2,100,JF,JF,baseline,baseline,10.0,8000,57.70766666666667,15.0,4.63120653851159,-0.5758165026513957,-1.7053974895258313,0.3376435735292983,False,3.881031183021298,5.205440183467415
18,CaJ,C195_2,100,JF,JF,baseline,baseline,5.0,24000,6.645666666666667,15.0,4.826878393704893,-2.9329133805123133,-4.149700128514359,0.7067771862258225,True,3.2565632196671532,6.028901093487921
18,CaJ,C195_2,100,JF,JF,baseline,baseline,10.0,24000,138.86066666666667,15.0,4.994748930545751,-0.06127789823354046,-0.08670044736554576,0.7067771862258225,False,3.424433756508011,6.1967716303287785
19,CaJ,C195_2,100,JF,JF,baseline,baseline,0.0,12000,177.3276666666667,5.0,4.965985282475901,0.21201396279984763,0.6923669841577583,0.30621616519995626,False,4.285635237057909,5.486770034423529
21,CaJ,C200_2,100,JF,JF,baseline,baseline,10.0,24000,11.882333333333328,15.0,4.7828634493136555,-2.307810746135045,-3.764650443794733,0.6130212567116307,True,3.420854883980045,5.825434545802702
22,CaJ,C200_2,100,JF,JF,baseline,baseline,10.0,8000,6.7493333333333325,25.0,4.711629900959714,-2.802186166385001,-3.8081410624953502,0.735840957674194,True,3.076740937318131,5.963081633970034
22,CaJ,C200_2,100,JF,JF,baseline,baseline,15.0,8000,132.37849999999997,25.0,4.853582474801808,0.03208276880800209,0.043600140048479445,0.735840957674194,False,3.218693511160225,6.105034207812127
22,CaJ,C200_2,100,JF,JF,baseline,baseline,20.0,8000,137.393,25.0,4.9955350486439025,-0.07268961629610171,-0.09878441195479944,0.735840957674194,False,3.3606460850023194,6.246986781654222
23,CaJ,C200_2,100,JF,JF,baseline,baseline,0.0,32000,12.39400000000002,15.0,4.218493539041242,-1.701281054501325,-3.064149426468742,0.5552213086624678,True,2.984904703785328,5.162763712756623
23,CaJ,C200_2,100,JF,JF,baseline,baseline,10.0,32000,69.80733333333333,15.0,4.50374977119907,-0.258010704867238,-0.4646988522266692,0.5552213086624678,False,3.2701609359431556,5.44801994491445
25,CaJ,C199_1,100,JF,JF,baseline,baseline,5.0,8000,28.078333333333333,15.0,4.34363877162818,-1.0086405484581227,-2.83794129852904,0.3554127595877056,True,3.5539838983469716,4.948092640743942
25,CaJ,C199_1,100,JF,JF,baseline,baseline,10.0,8000,79.62133333333334,15.0,4.536713287347639,-0.15943122370451412,-0.448580472714208,0.3554127595877056,False,3.74705841406643,5.141167156463401
26,CaJ,C199_1,100,JF,JF,baseline,baseline,5.0,12000,99.13833333333334,5.0,4.985019420331391,-0.3885032391236338,-1.0925944335418603,0.35557863668060613,False,4.194996001883355,5.5897553982006984
27,CaJ,C199_1,100,JF,JF,baseline,baseline,10.0,24000,90.35766666666667,15.0,4.915579924458656,-0.41180405582764834,-2.8117542898527836,0.1464580519406656,True,4.5901799174910405,5.164662529881681
30,CaJ,C202_4,100,JF,JF,baseline,baseline,5.0,8000,41.92066666666666,15.0,4.3661157457886155,-0.630336802594397,-1.6269922242031796,0.3874245944249087,False,3.505337085586547,5.0250124476470415
30,CaJ,C202_4,100,JF,JF,baseline,baseline,10.0,8000,91.02833333333332,15.0,4.5760633564659905,-0.06489254309879122,-0.16749722147897558,0.3874245944249087,False,3.715284696263922,5.2349600583244165
31,CaJ,C202_4,100,JF,JF,baseline,baseline,0.0,12000,46.50166666666666,5.0,4.557481472765607,-0.7179933185207097,-1.5829094553818852,0.4535908962319579,False,3.5496947458595116,5.328907835007492
31,CaJ,C202_4,100,JF,JF,baseline,baseline,5.0,12000,72.97299999999998,5.0,4.747384302996853,-0.4572947932783551,-1.0081657217487519,0.4535908962319579,False,3.739597576090757,5.518810665238737
32,CaJ,C202_4,100,JF,JF,baseline,baseline,0.0,24000,40.06733333333334,10.0,4.443741553122987,-0.7531801808933065,-2.8876248507842766,0.2608303432105259,True,3.8642295742769495,4.887338204856276
32,CaJ,C202_4,100,JF,JF,baseline,baseline,5.0,24000,101.166,10.0,4.6463303686333335,-0.029567636609434622,-0.11335965074266487,0.2608303432105259,False,4.066818389787296,5.0899270203666225
32,CaJ,C202_4,100,JF,JF,baseline,baseline,10.0,24000,102.578,10.0,4.848919184143681,-0.21829569935059556,-0.8369260135290355,0.2608303432105259,False,4.269407205297644,5.29251583587697
33,CaJ,C202_4,100,JF,JF,baseline,baseline,10.0,32000,52.81766666666668,15.0,4.528685079102991,-0.5618393483959236,-1.0190075973537152,0.5513593322120243,False,3.303676770129047,5.466387152644892
33,CaJ,C202_4,100,JF,JF,baseline,baseline,15.0,32000,102.287,15.0,4.71383846495552,-0.08605587729678543,-0.1560794789697924,0.5513593322120243,False,3.488830155981576,5.6515405384974216
33,CaJ,C202_4,100,JF,JF,baseline,baseline,20.0,32000,68.72699999999999,15.0,4.898991850808049,-0.6688497156887285,-1.2130922188354718,0.5513593322120243,False,3.6739835418341054,5.836693924349951
34,CaJ,C202_4,100,JF,JF,baseline,baseline,0.0,16000,95.5825,5.0,4.837187222818679,-0.27719747391112914,-1.4196059999457469,0.19526366746951113,False,4.4033510635009065,5.16927400393649
