file_number,substrain,id,noise_spl,analyzer_id,experimenter_id,noise_type,abr_time,level_db,freq_hz,wave1_amp,threshold
0,CaJ,C194_1,100,JF,JF,baseline,baseline,5.0,8000,186.49599999999998,15.0
0,CaJ,C194_1,100,JF,JF,baseline,baseline,10.0,8000,111.46366666666665,15.0
0,CaJ,C194_1,100,JF,JF,baseline,baseline,15.0,8000,251.361,15.0
0,CaJ,C194_1,100,JF,JF,baseline,baseline,20.0,8000,275.883,15.0
0,CaJ,C194_1,100,JF,JF,baseline,baseline,25.0,8000,234.257,15.0
0,CaJ,C194_1,100,JF,JF,baseline,baseline,30.0,8000,697.029,15.0
0,CaJ,C194_1,100,JF,JF,baseline,baseline,35.0,8000,426.71299999999997,15.0
0,CaJ,C194_1,100,JF,JF,baseline,baseline,40.0,8000,880.187,15.0
0,CaJ,C194_1,100,JF,JF,baseline,baseline,45.0,8000,546.0749999999999,15.0
0,CaJ,C194_1,100,JF,JF,baseline,baseline,50.0,8000,913.452,15.0
0,CaJ,C194_1,100,JF,JF,baseline,baseline,55.0,8000,857.409,15.0
0,CaJ,C194_1,100,JF,JF,baseline,baseline,60.0,8000,975.485,15.0
0,CaJ,C194_1,100,JF,JF,baseline,baseline,65.0,8000,1124.01,15.0
0,CaJ,C194_1,100,JF,JF,baseline,baseline,70.0,8000,1373.712,15.0
0,CaJ,C194_1,100,JF,JF,baseline,baseline,75.0,8000,709.265,15.0
0,CaJ,C194_1,100,JF,JF,baseline,baseline,80.0,8000,1346.21,15.0
0,CaJ,C194_1,100,JF,JF,baseline,baseline,85.0,8000,1332.624,15.0
0,CaJ,C194_1,100,JF,JF,baseline,baseline,90.0,8000,2143.136,15.0
1,CaJ,C194_1,100,JF,JF,baseline,baseline,5.0,32000,101.12966666666667,15.0
1,CaJ,C194_1,100,JF,JF,baseline,baseline,10.0,32000,85.47566666666665,15.0
1,CaJ,C194_1,100,JF,JF,baseline,baseline,15.0,32000,91.815,15.0
1,CaJ,C194_1,100,JF,JF,baseline,baseline,20.0,32000,165.571,15.0
1,CaJ,C194_1,100,JF,JF,baseline,baseline,25.0,32000,133.163,15.0
1,CaJ,C194_1,100,JF,JF,baseline,baseline,30.0,32000,224.726,15.0
1,CaJ,C194_1,100,JF,JF,baseline,baseline,35.0,32000,486.538,15.0
1,CaJ,C194_1,100,JF,JF,baseline,baseline,40.0,32000,400.158,15.0
1,CaJ,C194_1,100,JF,JF,baseline,baseline,45.0,32000,488.998,15.0
1,CaJ,C194_1,100,JF,JF,baseline,baseline,50.0,32000,617.684,15.0
1,CaJ,C194_1,100,JF,JF,baseline,baseline,55.0,32000,486.878,15.0
1,CaJ,C194_1,100,JF,JF,baseline,baseline,60.0,32000,913.858,15.0
1,CaJ,C194_1,100,JF,JF,baseline,baseline,65.0,32000,741.0740000000001,15.0
1,CaJ,C194_1,100,JF,JF,baseline,baseline,70.0,32000,939.323,15.0
1,CaJ,C194_1,100,JF,JF,baseline,baseline,75.0,32000,825.818,15.0
1,CaJ,C194_1,100,JF,JF,baseline,baseline,80.0,32000,784.907,15.0
1,CaJ,C194_1,100,JF,JF,baseline,baseline,85.0,32000,1038.583,15.0
1,CaJ,C194_1,100,JF,JF,baseline,baseline,90.0,32000,890.547,15.0
2,CaJ,C194_1,100,JF,JF,baseline,baseline,0.0,16000,52.42033333333333,10.0
2,CaJ,C194_1,100,JF,JF,baseline,baseline,5.0,16000,84.06799999999998,10.0
2,CaJ,C194_1,100,JF,JF,baseline,baseline,10.0,16000,182.54533333333336,10.0
2,CaJ,C194_1,100,JF,JF,baseline,baseline,15.0,16000,198.672,10.0
2,CaJ,C194_1,100,JF,JF,baseline,baseline,20.0,16000,277.502,10.0
2,CaJ,C194_1,100,JF,JF,baseline,baseline,25.0,16000,275.303,10.0
2,CaJ,C194_1,100,JF,JF,baseline,baseline,30.0,16000,536.043,10.0
2,CaJ,C194_1,100,JF,JF,baseline,baseline,35.0,16000,360.32,10.0
2,CaJ,C194_1,100,JF,JF,baseline,baseline,40.0,16000,713.895,10.0
2,CaJ,C194_1,100,JF,JF,baseline,baseline,45.0,16000,1064.491,10.0
2,CaJ,C194_1,100,JF,JF,baseline,baseline,50.0,16000,808.524,10.0
2,CaJ,C194_1,100,JF,JF,baseline,baseline,55.0,16000,1106.6999999999998,10.0
2,CaJ,C194_1,100,JF,JF,baseline,baseline,60.0,16000,1641.6490000000001,10.0
2,CaJ,C194_1,100,JF,JF,baseline,baseline,65.0,16000,1496.8490000000002,10.0
2,CaJ,C194_1,100,JF,JF,baseline,baseline,70.0,16000,1974.447,10.0
2,CaJ,C194_1,100,JF,JF,baseline,baseline,75.0,16000,2161.58,10.0
2,CaJ,C194_1,100,JF,JF,baseline,baseline,80.0,16000,2415.438,10.0
2,CaJ,C194_1,100,JF,JF,baseline,baseline,85.0,16000,3476.608,10.0
2,CaJ,C194_1,100,JF,JF,baseline,baseline,90.0,16000,4385.447,10.0
3,CaJ,C194_1,100,JF,JF,baseline,baseline,0.0,12000,49.97599999999999,5.0
3,CaJ,C194_1,100,JF,JF,baseline,baseline,5.0,12000,49.92966666666668,5.0
3,CaJ,C194_1,100,JF,JF,baseline,baseline,10.0,12000,6.999333333333325,5.0
3,CaJ,C194_1,100,JF,JF,baseline,baseline,15.0,12000,58.885,5.0
3,CaJ,C194_1,100,JF,JF,baseline,baseline,20.0,12000,86.61500000000001,5.0
3,CaJ,C194_1,100,JF,JF,baseline,baseline,25.0,12000,224.293,5.0
3,CaJ,C194_1,100,JF,JF,baseline,baseline,30.0,12000,478.00199999999995,5.0
3,CaJ,C194_1,100,JF,JF,baseline,baseline,35.0,12000,714.509,5.0
3,CaJ,C194_1,100,JF,JF,baseline,baseline,40.0,12000,519.736,5.0
3,CaJ,C194_1,100,JF,JF,baseline,baseline,45.0,12000,687.2429999999999,5.0
3,CaJ,C194_1,100,JF,JF,baseline,baseline,50.0,12000,950.721,5.0
3,CaJ,C194_1,100,JF,JF,baseline,baseline,55.0,12000,838.439,5.0
3,CaJ,C194_1,100,JF,JF,baseline,baseline,60.0,12000,615.322,5.0
3,CaJ,C194_1,100,JF,JF,baseline,baseline,65.0,12000,487.985,5.0
