file_number,substrain,id,noise_spl,analyzer_id,experimenter_id,noise_type,abr_time,level_db,freq_hz,wave1_amp,threshold
0,JRj,C46112_2,100,CV,JF,baseline,baseline,20.0,24000,228.341,15.0
0,JRj,C46112_2,100,CV,JF,baseline,baseline,25.0,24000,518.246,15.0
0,JRj,C46112_2,100,CV,JF,baseline,baseline,30.0,24000,447.22900000000004,15.0
0,JRj,C46112_2,100,CV,JF,baseline,baseline,35.0,24000,415.958,15.0
0,JRj,C46112_2,100,CV,JF,baseline,baseline,40.0,24000,711.504,15.0
0,JRj,C46112_2,100,CV,JF,baseline,baseline,45.0,24000,573.196,15.0
0,JRj,C46112_2,100,CV,JF,baseline,baseline,50.0,24000,476.437,15.0
0,JRj,C46112_2,100,CV,JF,baseline,baseline,55.0,24000,458.998,15.0
0,JRj,C46112_2,100,CV,JF,baseline,baseline,60.0,24000,445.794,15.0
0,JRj,C46112_2,100,CV,JF,baseline,baseline,65.0,24000,577.904,15.0
0,JRj,C46112_2,100,CV,JF,baseline,baseline,70.0,24000,835.4359999999999,15.0
0,JRj,C46112_2,100,CV,JF,baseline,baseline,75.0,24000,842.337,15.0
0,JRj,C46112_2,100,CV,JF,baseline,baseline,80.0,24000,1565.123,15.0
0,JRj,C46112_2,100,CV,JF,baseline,baseline,85.0,24000,1195.508,15.0
0,JRj,C46112_2,100,CV,JF,baseline,baseline,90.0,24000,844.6510000000001,15.0
1,JRj,C46112_2,100,CV,JF,baseline,baseline,10.0,12000,100.06299999999999,5.0
1,JRj,C46112_2,100,CV,JF,baseline,baseline,15.0,12000,227.365,5.0
1,JRj,C46112_2,100,CV,JF,baseline,baseline,20.0,12000,226.12099999999998,5.0
1,JRj,C46112_2,100,CV,JF,baseline,baseline,25.0,12000,328.675,5.0
1,JRj,C46112_2,100,CV,JF,baseline,baseline,30.0,12000,239.868,5.0
1,JRj,C46112_2,100,CV,JF,baseline,baseline,35.0,12000,315.534,5.0
1,JRj,C46112_2,100,CV,JF,baseline,baseline,40.0,12000,281.51,5.0
1,JRj,C46112_2,100,CV,JF,baseline,baseline,45.0,12000,778.701,5.0
1,JRj,C46112_2,100,CV,JF,baseline,baseline,50.0,12000,874.122,5.0
1,JRj,C46112_2,100,CV,JF,baseline,baseline,55.0,12000,603.282,5.0
1,JRj,C46112_2,100,CV,JF,baseline,baseline,60.0,12000,697.799,5.0
1,JRj,C46112_2,100,CV,JF,baseline,baseline,65.0,12000,857.5840000000001,5.0
1,JRj,C46112_2,100,CV,JF,baseline,baseline,70.0,12000,676.695,5.0
1,JRj,C46112_2,100,CV,JF,baseline,baseline,75.0,12000,716.57,5.0
1,JRj,C46112_2,100,CV,JF,baseline,baseline,80.0,12000,1137.149,5.0
1,JRj,C46112_2,100,CV,JF,baseline,baseline,85.0,12000,957.4069999999999,5.0
1,JRj,C46112_2,100,CV,JF,baseline,baseline,90.0,12000,2172.492,5.0
2,JRj,C46112_2,100,CV,JF,baseline,baseline,15.0,8000,58.846,15.0
2,JRj,C46112_2,100,CV,JF,baseline,baseline,20.0,8000,231.266,15.0
2,JRj,C46112_2,100,CV,JF,baseline,baseline,25.0,8000,256.93,15.0
2,JRj,C46112_2,100,CV,JF,baseline,baseline,30.0,8000,402.815,15.0
2,JRj,C46112_2,100,CV,JF,baseline,baseline,35.0,8000,119.984,15.0
2,JRj,C46112_2,100,CV,JF,baseline,baseline,40.0,8000,192.29000000000002,15.0
