file_number,substrain,id,noise_spl,analyzer_id,experimenter_id,noise_type,abr_time,level_db,freq_hz,wave1_amp,threshold
0,Sca,B50_4,100,CV,JF,baseline,baseline,15.0,24000,85.586,15.0
0,Sca,B50_4,100,CV,JF,baseline,baseline,20.0,24000,90.95,15.0
0,Sca,B50_4,100,CV,JF,baseline,baseline,25.0,24000,153.82299999999998,15.0
0,Sca,B50_4,100,CV,JF,baseline,baseline,30.0,24000,303.793,15.0
0,Sca,B50_4,100,CV,JF,baseline,baseline,35.0,24000,535.229,15.0
0,Sca,B50_4,100,CV,JF,baseline,baseline,40.0,24000,471.11199999999997,15.0
0,Sca,B50_4,100,CV,JF,baseline,baseline,45.0,24000,591.989,15.0
0,Sca,B50_4,100,CV,JF,baseline,baseline,50.0,24000,782.3520000000001,15.0
0,Sca,B50_4,100,CV,JF,baseline,baseline,55.0,24000,1073.047,15.0
0,Sca,B50_4,100,CV,JF,baseline,baseline,60.0,24000,1325.879,15.0
0,Sca,B50_4,100,CV,JF,baseline,baseline,65.0,24000,1204.02,15.0
0,Sca,B50_4,100,CV,JF,baseline,baseline,70.0,24000,1572.259,15.0
0,Sca,B50_4,100,CV,JF,baseline,baseline,75.0,24000,1710.0430000000001,15.0
0,Sca,B50_4,100,CV,JF,baseline,baseline,80.0,24000,1780.233,15.0
0,Sca,B50_4,100,CV,JF,baseline,baseline,85.0,24000,2110.012,15.0
0,Sca,B50_4,100,CV,JF,baseline,baseline,90.0,24000,2929.911,15.0
1,Sca,B50_4,100,CV,JF,baseline,baseline,10.0,12000,89.155,10.0
1,Sca,B50_4,100,CV,JF,baseline,baseline,15.0,12000,133.061,10.0
1,Sca,B50_4,100,CV,JF,baseline,baseline,20.0,12000,167.607,10.0
1,Sca,B50_4,100,CV,JF,baseline,baseline,25.0,12000,298.596,10.0
1,Sca,B50_4,100,CV,JF,baseline,baseline,30.0,12000,373.76,10.0
1,Sca,B50_4,100,CV,JF,baseline,baseline,35.0,12000,540.332,10.0
1,Sca,B50_4,100,CV,JF,baseline,baseline,40.0,12000,592.999,10.0
1,Sca,B50_4,100,CV,JF,baseline,baseline,45.0,12000,732.2330000000001,10.0
1,Sca,B50_4,100,CV,JF,baseline,baseline,50.0,12000,828.5530000000001,10.0
1,Sca,B50_4,100,CV,JF,baseline,baseline,55.0,12000,799.761,10.0
