id,freq_hz,counts,substrain,noise_spl,abr_time
B51,6000.0,10.9,Sca,100,ZT3
B51,8000.0,11.9,Sca,100,ZT3
B51,12000.0,20.4,Sca,100,ZT3
B51,16000.0,20.7,Sca,100,ZT3
B51,24000.0,15.8,Sca,100,ZT3
B51,32000.0,12.5,Sca,100,ZT3
B51,48000.0,8.3,Sca,100,ZT3
B51,64000.0,13.0,Sca,100,ZT3
B57,6000.0,16.8,Sca,100,ZT3
B57,8000.0,15.6,Sca,100,ZT3
B57,12000.0,18.2,Sca,100,ZT3
B57,16000.0,21.4,Sca,100,ZT3
B57,24000.0,12.5,Sca,100,ZT3
B57,32000.0,10.7,Sca,100,ZT3
B57,48000.0,17.8,Sca,100,ZT3
B57,64000.0,12.5,Sca,100,ZT3
B55,6000.0,12.8,Sca,100,ZT3
B55,8000.0,14.1,Sca,100,ZT3
B55,12000.0,16.9,Sca,100,ZT3
B55,16000.0,21.7,Sca,100,ZT3
B55,24000.0,16.4,Sca,100,ZT3
B55,32000.0,11.6,Sca,100,ZT3
B55,48000.0,14.4,Sca,100,ZT3
B55,64000.0,12.7,Sca,100,ZT3
B56,6000.0,15.1,Sca,100,ZT3
B56,8000.0,18.5,Sca,100,ZT3
B56,12000.0,16.6,Sca,100,ZT3
B56,16000.0,18.5,Sca,100,ZT3
B56,24000.0,19.2,Sca,100,ZT3
B56,32000.0,16.6,Sca,100,ZT3
B56,48000.0,14.3,Sca,100,ZT3
B56,64000.0,13.5,Sca,100,ZT3
B262,6000.0,13.3,Sca,103,ZT3
B262,8000.0,12.8,Sca,103,ZT3
B262,12000.0,23.3,Sca,103,ZT3
B262,16000.0,17.92,Sca,103,ZT3
B262,24000.0,13.29,Sca,103,ZT3
B262,32000.0,8.29,Sca,103,ZT3
B262,48000.0,5.1,Sca,103,ZT3
B264,6000.0,15.5,Sca,103,ZT3
B264,8000.0,14.0,Sca,103,ZT3
B264,12000.0,18.0,Sca,103,ZT3
B264,16000.0,13.83,Sca,103,ZT3
B264,24000.0,17.4,Sca,103,ZT3
B264,32000.0,6.67,Sca,103,ZT3
B264,48000.0,7.2,Sca,103,ZT3
B265,6000.0,16.0,Sca,103,ZT3
B265,8000.0,14.7,Sca,103,ZT3
B265,12000.0,16.2,Sca,103,ZT3
B265,16000.0,11.8,Sca,103,ZT3
B265,24000.0,13.6,Sca,103,ZT3
B265,32000.0,7.3,Sca,103,ZT3
B265,48000.0,12.29,Sca,103,ZT3
B241,6000.0,14.56,Sca,103,ZT3
B241,8000.0,11.44,Sca,103,ZT3
B241,12000.0,18.3,Sca,103,ZT3
B241,16000.0,15.0,Sca,103,ZT3
B241,24000.0,15.11,Sca,103,ZT3
B241,32000.0,12.2,Sca,103,ZT3
B241,48000.0,9.67,Sca,103,ZT3
B242,6000.0,19.4,Sca,103,ZT3
B242,8000.0,25.0,Sca,103,ZT3
B242,12000.0,28.0,Sca,103,ZT3
B242,16000.0,17.5,Sca,103,ZT3
B242,32000.0,9.56,Sca,103,ZT3
B243,6000.0,17.4,Sca,103,ZT3
B243,8000.0,19.0,Sca,103,ZT3
B243,12000.0,21.43,Sca,103,ZT3
B343,6000.0,13.0,Sca,105,ZT3
B343,8000.0,12.111111,Sca,105,ZT3
B343,12000.0,9.6,Sca,105,ZT3
B343,16000.0,9.0,Sca,105,ZT3
B343,24000.0,9.45,Sca,105,ZT3
B343,32000.0,9.3,Sca,105,ZT3
B343,48000.0,8.12,Sca,105,ZT3
B343,64000.0,15.7,Sca,105,ZT3
B344,6000.0,2.625,Sca,105,ZT3
B344,8000.0,20.3,Sca,105,ZT3
B344,12000.0,17.4,Sca,105,ZT3
B344,16000.0,20.5,Sca,105,ZT3
B344,24000.0,9.6,Sca,105,ZT3
B344,32000.0,7.2,Sca,105,ZT3
B344,48000.0,12.2,Sca,105,ZT3
B351,6000.0,13.4,Sca,105,ZT3
B351,8000.0,15.3,Sca,105,ZT3
B351,12000.0,16.2,Sca,105,ZT3
B351,16000.0,9.9,Sca,105,ZT3
B351,24000.0,9.14,Sca,105,ZT3
B351,32000.0,13.1,Sca,105,ZT3
B351,48000.0,9.3,Sca,105,ZT3
B346,6000.0,15.5,Sca,105,ZT3
B346,8000.0,15.38,Sca,105,ZT3
B346,12000.0,14.0,Sca,105,ZT3
B346,16000.0,7.71,Sca,105,ZT3
B346,24000.0,12.5,Sca,105,ZT3
B347,6000.0,12.4,Sca,105,ZT3
B347,8000.0,13.1,Sca,105,ZT3
B347,12000.0,15.3,Sca,105,ZT3
B347,16000.0,10.0,Sca,105,ZT3
C199,6000.0,3.7,CaJ,100,ZT3
C199,8000.0,8.6,CaJ,100,ZT3
C199,12000.0,13.0,CaJ,100,ZT3
C199,16000.0,13.2,CaJ,100,ZT3
C199,24000.0,14.0,CaJ,100,ZT3
C199,32000.0,8.8,CaJ,100,ZT3
C199,48000.0,7.5,CaJ,100,ZT3
C199,64000.0,6.1,CaJ,100,ZT3
C200,6000.0,4.3,CaJ,100,ZT3
C200,8000.0,6.9,CaJ,100,ZT3
C200,12000.0,7.7,CaJ,100,ZT3
C200,16000.0,14.4,CaJ,100,ZT3
C200,24000.0,12.6,CaJ,100,ZT3
C200,32000.0,7.7,CaJ,100,ZT3
C200,48000.0,6.3,CaJ,100,ZT3
C200,64000.0,7.2,CaJ,100,ZT3
C201,6000.0,5.8,CaJ,100,ZT3
C201,8000.0,8.5,CaJ,100,ZT3
C201,12000.0,9.1,CaJ,100,ZT3
C201,16000.0,14.0,CaJ,100,ZT3
C201,24000.0,15.8,CaJ,100,ZT3
C201,32000.0,8.2,CaJ,100,ZT3
C201,48000.0,4.6,CaJ,100,ZT3
C201,64000.0,15.14,CaJ,100,ZT3
C202,6000.0,7.2,CaJ,100,ZT3
C202,8000.0,7.6,CaJ,100,ZT3
C202,12000.0,7.7,CaJ,100,ZT3
C202,16000.0,14.7,CaJ,100,ZT3
C202,24000.0,13.0,CaJ,100,ZT3
C202,32000.0,11.9,CaJ,100,ZT3
C202,48000.0,6.5,CaJ,100,ZT3
C202,64000.0,8.5,CaJ,100,ZT3
C40,6000.0,9.2,CaJ,100,ZT3
C40,8000.0,10.7,CaJ,100,ZT3
C40,12000.0,13.7,CaJ,100,ZT3
C40,16000.0,15.9,CaJ,100,ZT3
C40,24000.0,10.1,CaJ,100,ZT3
C40,32000.0,10.28,CaJ,100,ZT3
C40,48000.0,8.28,CaJ,100,ZT3
C40,64000.0,18.8,CaJ,100,ZT3
C41,6000.0,11.33,CaJ,100,ZT3
C41,8000.0,14.1,CaJ,100,ZT3
C41,12000.0,15.7,CaJ,100,ZT3
C41,16000.0,13.7,CaJ,100,ZT3
C41,24000.0,12.0,CaJ,100,ZT3
C41,32000.0,8.4,CaJ,100,ZT3
C41,48000.0,15.0,CaJ,100,ZT3
C41,64000.0,9.1,CaJ,100,ZT3
C42,6000.0,6.6,CaJ,100,ZT3
C42,8000.0,15.7,CaJ,100,ZT3
C42,12000.0,18.9,CaJ,100,ZT3
C42,16000.0,17.0,CaJ,100,ZT3
C42,24000.0,11.4,CaJ,100,ZT3
C42,32000.0,10.6,CaJ,100,ZT3
C42,48000.0,9.2,CaJ,100,ZT3
C44,6000.0,13.3,CaJ,100,ZT3
C44,8000.0,16.1,CaJ,100,ZT3
C44,16000.0,19.1666667,CaJ,100,ZT3
C44,24000.0,13.16,CaJ,100,ZT3
C44,48000.0,18.9,CaJ,100,ZT3
C202L,6000.0,10.1,CaJ,100,ZT3
C202L,16000.0,19.7,CaJ,100,ZT3
unknown1,6000.0,14.8571429,CaJ,100,ZT3
unknown2,6000.0,11.4,CaJ,100,ZT3
C105,6000.0,3.7,CaJ,103,ZT3
C105,8000.0,5.2,CaJ,103,ZT3
C105,12000.0,3.8,CaJ,103,ZT3
C105,16000.0,6.1,CaJ,103,ZT3
C105,24000.0,4.6,CaJ,103,ZT3
C105,32000.0,1.7,CaJ,103,ZT3
C105,48000.0,0.0,CaJ,103,ZT3
C105,64000.0,0.1,CaJ,103,ZT3
C106,6000.0,8.2,CaJ,103,ZT3
C106,8000.0,7.5,CaJ,103,ZT3
C106,12000.0,5.3,CaJ,103,ZT3
C106,16000.0,3.0,CaJ,103,ZT3
C106,24000.0,9.2,CaJ,103,ZT3
C106,32000.0,2.3,CaJ,103,ZT3
C106,48000.0,0.9,CaJ,103,ZT3
C106,64000.0,0.6,CaJ,103,ZT3
C107,6000.0,3.9,CaJ,103,ZT3
C107,8000.0,9.5,CaJ,103,ZT3
C107,12000.0,9.5,CaJ,103,ZT3
C107,16000.0,6.0,CaJ,103,ZT3
C107,24000.0,3.3,CaJ,103,ZT3
C107,32000.0,5.9,CaJ,103,ZT3
C107,48000.0,3.6,CaJ,103,ZT3
C107,64000.0,0.0,CaJ,103,ZT3
C109,6000.0,9.4,CaJ,103,ZT3
C109,8000.0,11.7,CaJ,103,ZT3
C109,12000.0,5.4,CaJ,103,ZT3
C109,16000.0,7.9,CaJ,103,ZT3
C109,24000.0,14.4,CaJ,103,ZT3
C109,32000.0,6.5,CaJ,103,ZT3
C109,48000.0,1.17,CaJ,103,ZT3
C109,64000.0,4.1,CaJ,103,ZT3
C112,6000.0,4.5,CaJ,103,ZT3
C112,8000.0,8.9,CaJ,103,ZT3
C112,12000.0,11.3,CaJ,103,ZT3
C112,16000.0,14.6,CaJ,103,ZT3
C112,24000.0,15.4,CaJ,103,ZT3
C112,32000.0,0.9,CaJ,103,ZT3
C112,48000.0,0.0,CaJ,103,ZT3
C112,64000.0,5.3,CaJ,103,ZT3
C116,6000.0,6.5,CaJ,103,ZT3
C116,8000.0,10.3,CaJ,103,ZT3
C116,12000.0,21.1,CaJ,103,ZT3
C116,16000.0,13.0,CaJ,103,ZT3
C116,24000.0,5.0,CaJ,103,ZT3
C116,32000.0,5.3,CaJ,103,ZT3
C116,48000.0,2.1,CaJ,103,ZT3
C350,6000.0,6.1,CaJ,103,ZT3
C350,8000.0,5.6,CaJ,103,ZT3
C350,12000.0,16.2,CaJ,103,ZT3
C350,16000.0,10.7,CaJ,103,ZT3
C350,24000.0,15.5,CaJ,103,ZT3
C350,32000.0,8.4,CaJ,103,ZT3
C350,48000.0,13.3,CaJ,103,ZT3
C351,6000.0,15.7,CaJ,103,ZT3
C351,8000.0,15.7,CaJ,103,ZT3
C351,16000.0,24.9,CaJ,103,ZT3
C351,24000.0,26.9,CaJ,103,ZT3
C351,32000.0,5.6,CaJ,103,ZT3
C351,48000.0,21.6,CaJ,103,ZT3
C311,6000.0,12.3,CaJ,103,ZT3
C311,8000.0,8.2,CaJ,103,ZT3
C311,16000.0,15.6,CaJ,103,ZT3
C311,24000.0,11.7,CaJ,103,ZT3
C311,48000.0,3.9,CaJ,103,ZT3
C52,6000.0,4.4,CaJ,105,ZT3
C52,8000.0,16.3,CaJ,105,ZT3
C52,12000.0,13.6,CaJ,105,ZT3
C52,16000.0,10.7,CaJ,105,ZT3
C52,24000.0,6.9,CaJ,105,ZT3
C52,32000.0,7.25,CaJ,105,ZT3
C52,48000.0,7.5,CaJ,105,ZT3
C52,64000.0,4.5,CaJ,105,ZT3
C54,6000.0,6.6,CaJ,105,ZT3
C54,8000.0,17.3,CaJ,105,ZT3
C54,12000.0,13.4,CaJ,105,ZT3
C54,16000.0,14.8,CaJ,105,ZT3
C54,24000.0,10.8,CaJ,105,ZT3
C54,32000.0,5.8,CaJ,105,ZT3
C54,48000.0,9.14,CaJ,105,ZT3
C54,64000.0,4.6,CaJ,105,ZT3
C58,6000.0,10.7,CaJ,105,ZT3
C58,8000.0,11.9,CaJ,105,ZT3
C58,12000.0,16.5,CaJ,105,ZT3
C58,16000.0,17.1,CaJ,105,ZT3
C58,24000.0,9.9,CaJ,105,ZT3
C58,32000.0,4.6,CaJ,105,ZT3
C58,48000.0,8.8,CaJ,105,ZT3
C59,6000.0,10.0,CaJ,105,ZT3
C59,8000.0,15.6,CaJ,105,ZT3
C59,12000.0,11.0,CaJ,105,ZT3
C59,16000.0,9.0,CaJ,105,ZT3
C59,24000.0,10.75,CaJ,105,ZT3
C59,32000.0,6.5,CaJ,105,ZT3
C53,6000.0,10.3,CaJ,105,ZT3
C53,8000.0,11.7,CaJ,105,ZT3
C53,12000.0,15.0,CaJ,105,ZT3
C53,16000.0,12.7,CaJ,105,ZT3
C53,24000.0,8.1,CaJ,105,ZT3
C46052,6000.0,12.7,JRj,100,ZT3
C46052,8000.0,8.7,JRj,100,ZT3
C46052,12000.0,10.9,JRj,100,ZT3
C46052,16000.0,19.1,JRj,100,ZT3
C46052,24000.0,13.6,JRj,100,ZT3
C46052,32000.0,12.1,JRj,100,ZT3
C46052,48000.0,11.8,JRj,100,ZT3
C46052,64000.0,9.2,JRj,100,ZT3
C46085,6000.0,8.3,JRj,100,ZT3
